"id","created_at","name","has_test","alternate_url"
"114020524","2024-12-18T11:34:19+0300","Junior Data Scientist/MLE",false,"https://hh.ru/vacancy/114020524"
"112388836","2024-12-03T09:26:53+0300","Junior Data Scientist (Стажер)",false,"https://hh.ru/vacancy/112388836"
"114964698","2024-12-27T16:32:44+0300","ML Engineer/Data Scientist",false,"https://hh.ru/vacancy/114964698"
"114163817","2024-12-31T09:35:20+0300","Data scientist (Junior) в консалтинг",false,"https://hh.ru/vacancy/114163817"
"112307732","2024-12-02T10:13:04+0300","Data Scientist",false,"https://hh.ru/vacancy/112307732"
"112070405","2024-12-18T11:55:42+0300","Junior AI Engineer",false,"https://hh.ru/vacancy/112070405"
"112763125","2024-12-09T13:02:19+0300","Младший специалист по анализу данных / Junior Data Scientist",false,"https://hh.ru/vacancy/112763125"
"112761354","2024-12-09T12:40:52+0300","Junior NLP, LLM Data Scientist (блок ""Сеть Продаж"")",false,"https://hh.ru/vacancy/112761354"
"114967969","2024-12-27T23:34:08+0300","Аналитик по прогнозированию вторичных продаж / ML Forecasting Analyst",false,"https://hh.ru/vacancy/114967969"
"110283263","2024-11-29T12:27:07+0300","Data Scientist",false,"https://hh.ru/vacancy/110283263"
"114266088","2024-12-20T08:23:43+0300","Data Scientist (Machine learning (ML) engineer)",false,"https://hh.ru/vacancy/114266088"
"114914852","2025-01-01T09:30:30+0300","Data Scientist / Аналитик Data Science",false,"https://hh.ru/vacancy/114914852"
"113155326","2024-12-30T16:31:54+0300","Junior Data scientist",false,"https://hh.ru/vacancy/113155326"
"112332617","2024-12-02T13:29:13+0300","Инженер АСУТП",false,"https://hh.ru/vacancy/112332617"
"111570608","2024-12-22T11:08:03+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/111570608"
"114826808","2024-12-25T16:03:02+0300","Специалист по обработке и анализу данных / Data Scientist",false,"https://hh.ru/vacancy/114826808"
"112325803","2024-12-02T12:37:00+0300","Data Scientist / ML-инженер (Big Data) в Зеленограде",false,"https://hh.ru/vacancy/112325803"
"113290711","2024-12-13T13:16:00+0300","Data Scientist (проект GigaChat)",false,"https://hh.ru/vacancy/113290711"
"111528693","2024-12-04T20:11:33+0300","Data Scientist/Analyst",false,"https://hh.ru/vacancy/111528693"
"114728181","2024-12-24T18:19:53+0300","Data scientist (Аналитик данных)",false,"https://hh.ru/vacancy/114728181"
